#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-25T11:59:23Z,41.20546,29.07209,0
speed,2021-08-25T11:59:19Z,41.20546,29.07209,0
speed,2021-08-25T11:59:14Z,41.20546,29.07209,0
speed,2021-08-25T11:59:10Z,41.20546,29.07209,0
speed,2021-08-25T11:59:06Z,41.20546,29.07209,0
speed,2021-08-25T11:59:02Z,41.20546,29.07209,0
speed,2021-08-25T11:58:58Z,41.20546,29.07209,0
speed,2021-08-25T11:58:54Z,41.20546,29.07209,0
speed,2021-08-25T11:58:49Z,41.20546,29.07209,0
speed,2021-08-25T11:58:45Z,41.20546,29.07209,0
speed,2021-08-25T11:58:41Z,41.20546,29.07209,0
speed,2021-08-25T11:58:37Z,41.20546,29.07209,0
speed,2021-08-25T11:58:33Z,41.20546,29.07209,0
speed,2021-08-25T11:58:29Z,41.20546,29.07209,0
speed,2021-08-25T11:58:25Z,41.20546,29.07209,0
speed,2021-08-25T11:58:24Z,41.20546,29.07209,0
speed,2021-08-25T11:58:20Z,41.20546,29.07209,0
speed,2021-08-25T11:58:16Z,41.20546,29.07209,0
speed,2021-08-25T11:58:12Z,41.20546,29.07209,0
speed,2021-08-25T11:58:08Z,41.20546,29.07209,0
speed,2021-08-25T11:58:04Z,41.20546,29.07209,0
speed,2021-08-25T11:58:00Z,41.20549,29.07209,1.2
speed,2021-08-25T11:57:59Z,41.2055,29.07209,1.3
speed,2021-08-18T17:15:39Z,41.20745,29.07579,7.6
speed,2021-08-18T17:15:35Z,41.20744,29.07601,5.7
speed,2021-08-18T17:15:32Z,41.20745,29.07607,0
speed,2021-08-18T17:15:30Z,41.20745,29.07613,5
speed,2021-08-18T17:15:26Z,41.20739,29.07622,5.2
speed,2021-08-18T17:15:22Z,41.2073,29.07622,4.9
speed,2021-08-18T17:15:18Z,41.20722,29.07621,3.5
speed,2021-08-18T17:15:14Z,41.20719,29.07621,1.7
speed,2021-08-18T17:15:11Z,41.2072,29.07619,1
speed,2021-08-18T17:15:10Z,41.20719,29.07621,2.3
speed,2021-08-18T17:15:05Z,41.20724,29.07626,6
speed,2021-08-18T17:15:01Z,41.20738,29.07627,10.5
speed,2021-08-18T17:14:57Z,41.20757,29.07624,10.1
speed,2021-08-18T17:14:53Z,41.20776,29.07619,9.8
